Country/Territory,Region,C/T?,Edition,Status2013,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Score2013
Tunisia,MENA,c,2013,PF,3,4,9,12,5,0,0.0,26,10,8,6,9,33,59
Turkey,Europe,c,2013,PF,3,4,11,10,7,0,0.0,28,9,7,7,10,33,61
Turkmenistan,Eurasia,c,2013,NF,7,7,0,1,0,0,0.0,1,2,0,1,3,6,7
Tuvalu,Asia,c,2013,F,1,1,12,15,10,0,0.0,37,16,12,15,14,57,94
Uganda,SSA,c,2013,PF,5,4,3,6,3,0,0.0,12,11,4,6,7,28,40
Ukraine,Eurasia,c,2013,PF,4,3,8,9,4,0,0.0,21,10,8,7,11,36,57
United Arab Emirates,MENA,c,2013,NF,6,6,1,2,2,0,3.0,8,4,2,4,4,14,22
United Kingdom,Europe,c,2013,F,1,1,12,16,12,0,0.0,40,15,12,15,15,57,97
United States,Americas,c,2013,F,1,1,11,16,10,0,0.0,37,16,11,14,15,56,93
Uruguay,Americas,c,2013,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Uzbekistan,Eurasia,c,2013,NF,7,7,0,0,0,0,0.0,0,1,0,0,3,4,4
Vanuatu,Asia,c,2013,F,2,2,9,15,8,0,0.0,32,15,11,10,11,47,79
Venezuela,Americas,c,2013,PF,5,5,5,8,2,0,0.0,15,9,4,4,7,24,39
Vietnam,Asia,c,2013,NF,7,5,0,1,1,0,0.0,2,4,1,4,8,17,19
West Bank,MENA,t,2013,NF,6,5,2,5,2,3,0.0,6,8,6,5,5,24,30
Western Sahara,MENA,t,2013,NF,7,7,0,0,0,2,0.0,-2,3,0,0,4,7,5
Yemen,MENA,c,2013,NF,6,6,3,4,2,0,0.0,9,6,3,2,5,16,25
Zambia,SSA,c,2013,PF,3,4,9,12,7,0,0.0,28,11,7,8,8,34,62
Zimbabwe,SSA,c,2013,NF,6,6,3,5,3,0,0.0,11,6,3,1,4,14,25
