Country/Territory,Region,C/T?,Edition,Status,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Total
New Zealand,Asia,c,2006,F,1,1,12,15,12,0,0.0,39,16,11,15,15,57,96
Nicaragua,Americas,c,2006,PF,3,3,9,11,5,0,0.0,25,13,8,7,10,38,63
Niger,SSA,c,2006,PF,3,3,10,10,7,0,0.0,27,11,7,10,7,35,62
Nigeria,SSA,c,2006,PF,4,4,6,8,6,0,0.0,20,11,7,4,6,28,48
North Korea,Asia,c,2006,NF,7,7,0,0,0,0,0.0,0,0,0,0,0,0,0
Northern Cyprus,Europe,t,2006,F,2,2,11,14,9,0,0.0,34,13,9,12,12,46,80
Norway,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Oman,MENA,c,2006,NF,6,5,2,2,2,0,4.0,10,6,4,3,5,18,28
Pakistan,Asia,c,2006,NF,6,5,2,6,3,0,0.0,11,8,6,4,6,24,35
Pakistani Kashmir,Asia,t,2006,NF,7,5,2,3,2,2,0.0,5,6,4,4,6,20,25
Palau,Asia,c,2006,F,1,1,12,15,10,0,0.0,37,16,11,15,13,55,92
Palestinian Authority Administered Territories,MENA,t,2006,PF,5,5,5,7,4,0,0.0,16,5,5,2,5,17,33
Panama,Americas,c,2006,F,1,2,12,15,9,0,0.0,36,15,11,9,12,47,83
Papua New Guinea,Asia,c,2006,PF,3,3,9,11,6,0,0.0,26,12,9,9,8,38,64
Paraguay,Americas,c,2006,PF,3,3,11,11,3,0,0.0,25,13,8,7,10,38,63
Peru,Americas,c,2006,F,2,3,11,14,7,0,0.0,32,15,10,8,9,42,74
Philippines,Asia,c,2006,PF,3,3,7,14,8,0,0.0,29,15,9,9,10,43,72
Poland,Europe,c,2006,F,1,1,12,16,10,0,0.0,38,16,12,13,13,54,92
Portugal,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,15,14,57,97
Puerto Rico,Americas,t,2006,F,1,1,12,15,10,0,0.0,37,16,11,14,14,55,92
Qatar,MENA,c,2006,NF,6,5,2,1,3,0,3.0,9,8,2,4,4,18,27
Romania,Europe,c,2006,F,2,2,10,13,7,0,0.0,30,13,10,11,11,45,75
Russia,Eurasia,c,2006,NF,6,5,3,5,3,0,0.0,11,8,6,4,6,24,35
Rwanda,SSA,c,2006,NF,6,5,3,3,5,0,0.0,11,7,3,6,5,21,32
Samoa,Asia,c,2006,F,2,2,9,13,10,0,0.0,32,14,10,13,12,49,81
San Marino,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Sao Tome and Principe,SSA,c,2006,F,2,2,11,14,8,0,0.0,33,15,10,12,10,47,80
Saudi Arabia,MENA,c,2006,NF,7,6,0,0,1,0,3.0,4,4,0,2,2,8,12
Senegal,SSA,c,2006,F,2,3,12,12,9,0,0.0,33,15,9,10,9,43,76
Serbia and Montenegro,Europe,c,2006,F,3,2,9,13,7,0,0.0,29,14,11,9,13,47,76
Seychelles,SSA,c,2006,PF,3,3,8,11,7,0,0.0,26,11,9,11,11,42,68
Sierra Leone,SSA,c,2006,PF,4,3,9,10,4,0,0.0,23,12,8,8,9,37,60
Singapore,Asia,c,2006,PF,5,4,4,6,7,0,0.0,17,9,4,8,12,33,50
Slovakia,Europe,c,2006,F,1,1,12,15,10,0,0.0,37,16,12,12,14,54,91
Slovenia,Europe,c,2006,F,1,1,12,15,11,0,0.0,38,16,12,14,12,54,92
Solomon Islands,Asia,c,2006,PF,3,3,7,10,7,0,0.0,24,13,9,8,12,42,66
Somalia,SSA,c,2006,NF,6,7,0,4,4,0,0.0,8,3,1,3,0,7,15
South Africa,SSA,c,2006,F,1,2,12,14,10,0,0.0,36,15,12,13,12,52,88
South Korea,Asia,c,2006,F,1,2,11,15,10,0,0.0,36,14,12,12,11,49,85
Spain,Europe,c,2006,F,1,1,12,14,12,0,0.0,38,16,12,14,15,57,95
Sri Lanka,Asia,c,2006,PF,3,3,8,9,7,0,0.0,24,9,9,7,10,35,59
