CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,2021_Score,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov't_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate_(%),Income_Tax_Rate_(%),Corporate_Tax_Rate_(%),Tax_Burden_%_of_GDP,Gov't_Expenditure_%_of_GDP_,Country,Population_(Millions),"GDP_(Billions,_PPP)",GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
129,Paraguay,Paraguay,Americas,84.0,16.0,62.6,41.6,26.0,32.2,96.2,86.7,91.6,59.6,31.8,73.8,76.4,75.0,60.0,6.8,10.0,10.0,13.5,21.08666666666667,Paraguay,7.044636,96.306,0.2,3.2455999999999996,13210.307911596527,4.8,2.757,478.091,23.5
130,Peru,Peru,Americas,50.0,7.0,67.7,53.3,28.2,36.3,79.4,86.4,91.5,66.2,63.2,86.1,86.4,75.0,60.0,1.8,30.0,29.5,16.9,21.318333333333335,Peru,32.510453,476.014,2.162,3.186,13380.364424099644,3.3,2.136,8891.912,26.7
131,Philippines,Philippines,Asia-Pacific,73.0,12.0,64.1,57.0,34.5,40.6,76.8,87.4,94.3,58.2,57.7,68.7,74.2,60.0,60.0,5.4,35.0,30.0,14.047533279066077,20.531666666666666,Philippines,108.116615,1027.19,5.905,6.355600000000001,9277.374369233,2.2,2.48,4996.3922421,38.6
132,Poland,Poland,Europe,41.0,25.0,69.7,63.3,48.9,65.0,73.9,48.1,94.6,61.6,66.1,80.8,84.0,80.0,70.0,3.0,32.0,19.0,35.03,41.591,Poland,37.970874,1287.28,4.095,4.2168,34217.71571382176,3.5,2.308,13220.467888044424,46.7
133,Portugal,Portugal,Europe,52.0,29.0,67.5,74.1,68.5,68.2,60.0,42.4,78.2,75.9,44.1,85.0,84.0,70.0,60.0,3.0,48.0,21.0,35.39,43.9,Portugal,10.269417,346.926,2.157,2.4222,36470.706768910415,6.3,0.3,8234.431533225865,117.6
134,Qatar,Qatar,Middle East and North Africa,31.0,3.0,72.0,68.3,58.0,54.0,97.9,69.2,94.5,74.0,65.9,80.7,81.4,60.0,60.0,4.3,0.0,0.0,14.65,32.04066666666667,Qatar,2.832067,358.869,0.066,1.7856,96490.98387355408,0.1,-0.552,-2812.6373626,52.3
135,Romania,Romania,Europe,43.0,26.0,69.5,68.8,63.1,54.6,94.3,69.2,78.9,59.7,63.6,77.7,84.0,70.0,50.0,3.0,10.0,16.0,14.58483480834879,32.056333333333335,Romania,19.356544,549.195,4.078,4.8598,32297.3033740157,4.0,3.825,5971.218430951102,35.2
136,Russia,Russia,Europe,92.0,42.0,61.5,54.4,42.4,41.7,93.0,66.1,99.6,84.1,55.4,67.3,74.0,30.0,30.0,5.5,13.0,20.0,11.384595754929771,33.60999999999999,Russia,144.373535,4389.96,1.336,0.7992000000000001,29181.3632177676,4.6,4.47,31735.1389999,14.0
137,Rwanda,Rwanda,Sub-Saharan Africa,47.0,2.0,68.3,68.7,75.2,59.1,79.5,78.5,78.0,62.3,77.4,80.2,61.2,60.0,40.0,14.4,30.0,30.0,15.952,26.776666666666667,Rwanda,12.62695,30.971,10.063,7.928800000000001,2318.486230322232,1.0,2.426,420.1589999,38.6
138,Saint Lucia,SaintLucia,Americas,53.0,8.0,67.5,61.5,66.3,44.6,76.9,83.2,86.2,75.7,66.5,83.5,60.6,65.0,40.0,12.2,30.0,30.0,22.5,23.67866666666667,Saint Lucia,0.18279,2.934,1.729,2.2774,16089.067670129836,20.7,0.714,30.64074074074074,65.5
